ArticleID,Authors,PublicationYear,CiteMeAs,BiblioBackBoneSLM,OldBiblioSLM,TimesCited,Title,Affiliation,Country,Abstract,JournalConferenceCitation,CitedReferences,CountCitedReferences,isDHQ,Latitude,Longitude,GeocodedCountry,Department,WOSSubjectArea,DHQKeywords
71,"Ainsworth, Peter | Meredith, Michael",2009,ainsworth2009,isolate_0,isolate_1308,1,"e-Science for Medievalists: Options, Challenges, Solutions and Opportunities",University of Sheffield | University of Sheffield,United Kingdom | United Kingdom,"Medievalists typically resort to parchment for primary research and when editing their sources. Not always accurately catalogued, manuscripts copied onto animal skins may have started life in the same workshop but over the centuries have become dispersed, coming to rest in libraries all over the world; bringing these together entails travel, microfilm purchases and reassembly and collation of the data within reach of a microfilm reader. These unwieldy machines afford only moderate scope for exploring single manuscripts at close quarters. High-resolution digitisation yields not just better surrogates in full colour; it allows for the development of additional research tools using image compression and manipulation, and new modes of representation, e.g. juxtaposed display of several related witnesses. This paper outlines research questions underpinning the development of an electronic tool for viewing, transcribing and manipulating manuscripts; it moves on to show how the viewer can be adapted for access from remote sites, to compare and annotation one or more witnesses (interactively and in real time), and for use as an integral part of an online edition. Finally, it explores how it can be deployed for use on projects taking knowledge outside the academy: in museums, galleries and other public spaces.",Digital Humanities Quarterly,ainsworth2010b | kiernan1997,2,1,-1.4879469,53.3809409,united kingdom,French,Language & Linguistics,"e-science | medieval studies | software/tool design and development | collaborative digital scholarship | annotation systems | digitisation - theory and practice | GLAM: galleries, libraries, archives, museums | project design"
11,"Anderson, Steve F.",2007,anderson2007,community_0,community_0,0,Aporias of the Digital Avant-Garde,University of Southern California,United States of America,"This article maps two divergent trajectories within a narrowly defined sphere of short-form, time-based digital media created between 1995 and 2005. These works are considered in relation to the historical avant-garde - particularly the Structural film movement of the 1960s and 70s - and analyzed as responses to a range of cultural concerns specific to the digital age. The analysis identifies movement toward two terminal points: first, a mode of remix-based montage inspired by open source programming communities and peer-to- peer networks; and second, the emergence of a mode of imaging termed the digital analogue, which foregrounds the material basis of digital production.",Digital Humanities Quarterly,bukatman2003 | cae2001 | cae2002 | crary1990 | darley2000 | enzensberger1974 | greenwald2004 | james1989 | kittler1999 | krauss1993 | lunenfeld2000 | manovich1999 | manovich2001 | marks2000 | nichols1991 | weibel2002 | willis2005,17,1,-118.285117,34.0223519,united states,Cinematic Arts,"Film, Radio, Television",multimedia | digital art | media studies | media history [history of the book] | ontologies | network science - theory and analysis
43,"Argamon, Shlomo | Cooney, Charles | Horton, Russell | Olsen, Mark | Stein, Sterling | Voyer, Robert",2009,argamon2009a,community_7,community_6,0,"Gender, Race, and Nationality in Black Drama, 1950-2006: Mining Differences in Language Use in Authors and their Characters",Illinois Institute of Technology | University of Chicago | University of Chicago | University of Chicago | Illinois Institute of Technology | Powerset,United States of America | United States of America | United States of America | United States of America | United States of America | United States of America,"Machine learning and text mining offer new models for text analysis in the humanities by searching for meaningful patterns across many hundreds or thousands of documents. In this study, we apply comparative text mining to a large database of 20th century Black Drama in an effort to examine linguistic distinctiveness of gender, race, and nationality. We first run tests on the plays of American versus non-American playwrights using a variety of learning techniques to classify these works, identifying those which are incorrectly classified and the features which distinguish the plays. We achieve a significant degree of performance in this cross-classification task and find features that may provide interpretative insights. Turning our attention to the question of gendered writing, we classify plays by male and female authors as well as the male and female characters depicted in these works. We again achieve significant results which provide a variety of feature lists clearly distinguishing the lexical choices made by male and female playwrights. While classification tasks such as these are successful and may be illuminating, they also raise several critical issues. The most successful classifications for author and character genders were accomplished by normalizing the data in various ways. Doing so creates a kind of distance from the text as originally composed, which may limit the interpretive utility of classification tools. By framing the classification tasks as binary oppositions (male/female, etc), the possibility arises of stereotypical or lowest common denominator results which may gloss over important critical elements, and may also reflect the experimental design. Text mining opens new avenues of textual and literary research by looking for patterns in large collections of documents, but should be employed with close attention to its methodological and critical limitations.",Digital Humanities Quarterly,argamon2003 | bldr2005 | joachims1999 | koppel2002 | parallel_gpdt | philologic2007 | philomine2007 | ruiz1998 | svm_light | weka3 | zanni2003 | zanni2006,12,1,-87.6270059,41.8348731,united states,"Digital Library Development Center,",Information Science & Library Science,"machine learning/reading | genre-specific studies: prose, poetry, drama, song, comic/graphic | text mining | corpus linguistics | gender studies | african american studies | philology"
42,"Argamon, Shlomo | Goulain, Jean-Baptiste | Horton, Russell | Olsen, Mark",2009,argamon2009b,community_7,community_6,0,Vive la Diffï¿_rence! Text Mining Gender Difference in French Literature,Illinois Institute of Technology | Illinois Institute of Technology | University of Chicago | University of Chicago,United States of America | United States of America | United States of America | United States of America,"In this study, a corpus of 300 male-authored and 300 female-authored French literary and historical texts is classified for author gender using the Support Vector Machine (SVM) implementation SVMLight, achieving up to 90% classification accuracy. The sets of words that were most useful in distinguishing male and female writing are extracted from the support vectors. The results reinforce previous findings from statistical analyses of the same corpus, and exhibit remarkable cross-linguistic parallels with the results garnered from SVM models trained in gender classification on selections from the British National Corpus. It is found that female authors use personal pronouns and negative polarity items at a much higher rate than their male counterparts, and male authors demonstrate a strong preference for determiners and numerical quantifiers. Among the words that characterize male or female writing consistently over the time period spanned by the corpus, a number of cohesive semantic groups are identified. Male authors, for example, use religious terminology rooted in the church, while female authors use secular language to discuss spirituality. Such differences would take an enormous human effort to discover by a close reading of such a large corpus, but once identified through text mining, they frame intriguing questions which scholars may address using traditional critical analysis methods.",Digital Humanities Quarterly,argamon2003 | artfl2008 | joachims1999 | koppel2002 | olsen2004 | olsen2005 | philomine2007 | stein | joachims2008 | tannen1994 | schmid2006,11,1,-87.6270059,41.8348731,united states,"Digital Library Development Center,",Information Science & Library Science,machine learning/reading | gender studies | text mining | french studies | corpora and corpus activities | modeling
41,"Argamon, Shlomo | Olsen, Mark",2009,argamon2009c,community_8,community_1,0,"Words, Patterns and Documents: Experiments in Machine Learning and Text Analysis",Illinois Institute of Technology | University of Chicago,United States of America | United States of America, ,Digital Humanities Quarterly,argamon2006 | crane2006 | ramsay2005,3,1,-87.6270059,41.8348731,united states,Computer Science,"Computer Science, Interdisciplinary Applications",digital libraries | text mining | text analysis | machine learning/reading | content analysis | corpora and corpus activities | information retrieval
145,"Arriaga, Eduard A. | Sancho Caparrini, Fernando | Suï¿_rez, Juan Luis",2013,arriaga2013,isolate_1,isolate_3431,0,Modeling Afro-Latin American Artistic Representations in Topic Maps: Cuba's Prominence in Latin American Discourse,University of Western Ontario | University of Sevilla | University of Western Ontario,Canada | Spain | Canada,"Artistic representations of African-descendant cultures in Latin America, the Hispanic Caribbean, and the Hispanic World have emerged as the outcome of multiple exchanges, inventions, and cultural coexistences. Such representations take part of a network where cultural, ethnic, social, artistic, literary, and racial information circulates, giving shape to centers with multiple connections at different scales. In accordance with this, the main aim of this article is to demonstrate how Cubaï¿_s predominance for the representation of such cultural pattern is not only based on the significance of particular artistic figures, but also on the connectivity that the island as a cultural node has with respect to the ï¿_globalï¿_ network of African and African-descendant representations. In order to achieve this aim, we carry out two main tasks: a) network analysis looking at related concepts such as centrality, connectivity, betweenness, modularity, etc., through a methodology that takes into account topic-map analysis and the use of Page Ranking Algorithm [the algorithm used by good part of search engines such as Google] as the basic formula to filter and organize information; b) local analysis of two nodes that take part of Cubaï¿_s cluster in order to compare the results of the analysis of networks with a more socio-literary analysis that focuses on detailed reading of some of their messages (works, paratexts, prologues, interviews, etc): Nicolï¿_s Guillï¿_n and Alejo Carpentier. As matter of conclusions, we evaluate not only our findings with regards to Cuba but also the methodology as a contribution to the field of the Digital humanities and its practices of analysis.",Digital Humanities Quarterly,adoum1946 | aguirre1959 | alegria1954 | amado1953 | amorim1947 | aragon1949 | arozarena1954 | asante1988 | auguier1971 | balagas1931 | bandeira1948 | barnet1971 | blanco1945 | boti1930 | branche2006 | carpentier1932 | carpentier1967 | carpentier1977 | cavallisforza2005 | coulthard | decosta-willis2000 | deleuze1977 | depreste1984 | depreste1984b | droguett1946 | duncan2005 | ehremburg | feijoo | castro1943 | finn1988 | fox2006 | fox2002a | garciacanclini1990 | caturla1962 | garshol2006 | glissant1981 | tunon1947 | guillen1952 | guillen1957 | handelsman1999 | hays1948 | hughes1948 | jackson1982 | jackson1984 | jackson1997 | jahn1969 | kesteloot1967 | schewer1946 | alfaro1946 | levy1995 | lewis1983 | rego1947 | marinello1937 | marquez | estrada1967 | melon1947 | neruda1947 | ortiz | perezfirmat2003 | poniatowska1985 | ruffinelli1985 | roumain1971 | ercasty1971 | said1978 | salazar1930 | sedarsenghor1966 | sosa | unamuno1942 | vandijk1977 | vasconcelos1930 | vitier1970,71,1,-81.2737336,43.0095971,canada,Modern Languages and Literatures,Language & Linguistics,network science - theory and analysis | semantic web | multilingual/multicultural approaches | knowledge representation | literary studies | interdisciplinary collaboration | african american studies | spanish and spanish american studies
155,"Baldwin, Sandy",2013,baldwin2013,community_5,community_4,0,The Idiocy of the Digital Literary (and what does it have to do with digital humanities)?,West Virginia University,United States of America,"What does the category of the literary give to digital humanities? Nothing and everything. This essay considers the ""idiocy"" of the literary: its unaccountable singularity, which guarantees that we continue to return to it as a source, inspiration, and challenge. As a consequence, digital humanities is inspired and irritated by the literary. My essay shows this in three ways. First, through a speculative exploration of the relation between digital humanities and the category of ""the literary."" Second, through a quick survey of the use of literature in digital humanities project. Thirdly, through a specific examination of TEI and character rendering as digital humanities concerns that necessarily engage with the literary. Once again, the literary remains singular and not abstract, literal in a way that challenges and provokes us towards new digital humanities work.",Digital Humanities Quarterly,adorno1997 | adorno1992 | barthes1977 | becker2011 | cohen2011 | saussure1983 | flanders2011 | freud1965 | harman2005 | hayles2008 | jakobson1987 | korpela2006 | lennon2010 | mcluhan2011 | rosset1989 | shklovsky2004 | stiegler2009 | stiegler2002 | tei2011 | unicode | wilden1972,21,1,-79.9559358,39.6361396,united states,English,Language & Linguistics,digital humanities - nature and significance | literary studies | TEI | critical code studies | digital literary studies
33,"Bamman, David | Crane, Gregory",2009,bamman2009,community_8,community_1,0,Computational Linguistics and Classical Lexicography,Tufts University | Tufts University,United States of America | United States of America,"Manual lexicography has produced extraordinary results for Greek and Latin, but it cannot in the immediate future provide for all texts the same level of coverage available for the most heavily studied materials. As we build a cyberinfrastructure for Classics in the future, we must explore the role that automatic methods can play within it. Using technologies inherited from the disciplines of computational linguistics and computer science, we can create a complement to these traditional reference works - a dynamic lexicon that presents statistical information about a wordï¿_ï¿_s usage in context, including information about its sense distribution within various authors, genres and eras, and syntactic information as well.",Digital Humanities Quarterly,andrews1850 | bamman2007 | bamman2008 | banerjee2002 | bourne1916 | brants2006 | brown1991c | busa2004 | thomisticus | charniak2000 | collins1999 | freund1840 | gale1992a | old | grozea2004 | hajic1999 | kilgarriff2004 | klosa2006 | lesk1986 | lewis1879 | liddell1940 | marcus1993b | mccarthy2004 | mcdonald2005 | melcuk1988 | mihalcea2004 | wordnet | miller1993b | moore2002 | niermeyer1976 | nivre2006 | och2003b | pinkster1990 | schutz1895 | sinclair1987 | singh2005 | tll | tufis2004,38,1,-71.1190232,42.4074843,united states,Computer Science,"Computer Science, Interdisciplinary Applications",cyberinfrastructure | Classics | lexicography | corpus linguistics | natural language processing | computer science | multilingual / multicultural approaches | semantic analysis | machine learning/reading
15,"Barnet, Belinda",2008,barnet2008,community_10,community_5,1,The Technical Evolution of Vannevar Bush's Memex,Swinburne University of Technology,Australia,"This article describes the evolution of the design of Vannevar Bush's Memex, tracing its roots in Bush's earlier work with analog computing machines, and his understanding of the technique of associative memory. It argues that Memex was the product of a particular engineering culture, and that the machines that preceded Memex ï¿_ï¿_ï¿_ the Differential Analyzer and the Selector in particular ï¿_ï¿_ï¿_ helped engender this culture, and the discourse of analogue computing itself.",Digital Humanities Quarterly,bagg1961 | beniger1986 | burke1991 | bush1928 | bush1991 | bush1939 | bush1945a | bush1991a | bush1963 | bush1991d | bush1991b | bush1970 | ceruzzi1998 | delanda1994 | dennett1993 | edwards1997 | eldredge2004 | engelbart1999 | farkas1990 | guattari1995 | gille1986 | hartree2000 | hatt1968 | hayles1993 | hayles1999 | hazen1940 | meyrowitz1991 | mindell2000 | nelson1991 | nelson1999 | nyce1991 | oren1991 | owens1991 | shurkin1996 | smith1991 | spar2001 | stiegler1998 | vandam1999 | weaver1950 | weaver1950a | wells1938 | ziman2003,42,1,145.038961,-37.822149,australia,Media and Communications,Art,media studies | information architecture | knowledge representation | history of Humanities Computing/Digital Humanities | machine learning/reading | cultural studies
81,"Barnet, Belinda",2010,barnet2010,community_10,community_5,0,Crafting the User-Centered Document Interface: The Hypertext Editing System (HES) and the File Retrieval and Editing System (FRESS),Swinburne University of Technology,Australia,"This article traces the development of two important hypertext systems in the history of computing, and the new paradigms they created: the Hypertext Editing System (HES) and the File Retrieval and Editing System (FRESS). HES was the world's first word processor to run on commercial equipment. It was also the first hypertext system that beginners could use, and pioneered many modern hypertext concepts for personal use. Although the idea of hypertext predates HES and FRESS, this article argues that these two systems were successful because they demonstrated hypertext to a sceptical public; they were both working prototypes.",Digital Humanities Quarterly,barnet2008 | barnet2007 | barnet2006 | barnet2005 | bush1945 | carmody1967 | ceruzzi1998 | childress1998 | conklin1987 | derose1999 | engelbart1999 | nelson1999 | nyce1991 | owens1991 | vandam1988 | vandam1999 | wardrip2003 | wolf1995,18,1,145.038961,-37.822149,australia,Media and Communications,Art,hypertext | history of Humanities Computing/Digital Humanities | interface and user experience design | software/tool design and development
